Name, Age of Dog Owner, Income Level, Education Level, Location of Residence, Household Size, Pet Ownership Experience, Interest in Music, Technology Adoption Level, Frequency of Purchasing Pet Products, Willingness to Spend on Pet Education and Entertainment  
Grace Robinson, 37, $95,000, Master's, Urban, 2, High, Moderate, High, Monthly, High  
Aiden Brooks, 28, $68,000, Bachelor's, Suburban, 3, Moderate, High, High, Bi-weekly, Moderate  
Chloe Bennett, 45, $110,000, Doctorate, Rural, 4, Low, Moderate, Moderate, Monthly, High  
Logan Cooper, 31, $80,000, Master's, Urban, 2, Moderate, High, High, Monthly, Moderate  
Lily Torres, 34, $88,000, Bachelor's, Suburban, 3, High, High, Moderate, Weekly, High  
Jayden Scott, 29, $72,000, Bachelor's, Urban, 2, Moderate, Moderate, High, Bi-weekly, High  
Natalie Murphy, 40, $98,000, Master's, Rural, 4, High, High, Moderate, Monthly, Moderate  
Hunter Richardson, 48, $115,000, Doctorate, Suburban, 1, Low, Moderate, High, Quarterly, Moderate  
Zoe James, 33, $85,000, Bachelor's, Urban, 3, High, High, High, Monthly, High  
Carson Reed, 39, $105,000, Master's, Rural, 2, Moderate, Low, Moderate, Monthly, Moderate  
Victoria Bell, 36, $92,000, Bachelor's, Suburban, 4, Low, High, High, Monthly, High  
Gabriel Foster, 42, $100,000, Doctorate, Urban, 3, Moderate, Moderate, High, Quarterly, Moderate  
Samantha Ward, 30, $77,000, Master's, Rural, 2, High, High, Moderate, Weekly, High  
Landon Bailey, 27, $62,000, Bachelor's, Suburban, 3, Moderate, Moderate, High, Bi-weekly, Moderate  
Layla Hughes, 41, $108,000, Master's, Urban, 4, Low, High, High, Monthly, High  
Jacob Price, 35, $94,000, Doctorate, Rural, 2, Moderate, Low, Moderate, Monthly, Moderate  
Ella Reed, 29, $70,000, Bachelor's, Suburban, 3, High, Moderate, High, Weekly, High  
Lucas Rivera, 47, $120,000, Master's, Urban, 1, Low, High, High, Quarterly, Moderate  
Stella Morgan, 32, $82,000, Bachelor's, Rural, 2, Moderate, Low, Moderate, Monthly, Moderate  
Henry Cox, 38, $98,000, Doctorate, Suburban, 4, High, High, High, Monthly, High  
Aria Peterson, 44, $104,000, Master's, Urban, 3, Low, Moderate, High, Bi-weekly, Moderate  
Brayden Gray, 33, $86,000, Bachelor's, Rural, 5, Moderate, Low, Moderate, Monthly, Moderate  
Scarlett Perry, 38, $115,000, Master's, Suburban, 2, High, High, High, Monthly, High  
Julian Collins, 30, $75,000, Doctorate, Urban, 1, Moderate, Moderate, High, Weekly, Moderate  
Audrey Jenkins, 28, $73,000, Bachelor's, Rural, 3, Low, High, High, Monthly, High  
Nolan Simpson, 46, $118,000, Master's, Suburban, 2, Moderate, Low, Moderate, Quarterly, Moderate  
Savannah Hayes, 35, $91,000, Bachelor’s, Urban, 4, High, High, High, Bi-weekly, High  
Eli Young, 41, $105,000, Doctorate, Rural, 1, Low, Moderate, High, Monthly, Moderate  
Grace Williams, 38, $93,000, Master's, Suburban, 3, High, High, Moderate, Monthly, High  
Sebastian Clemens, 32, $87,000, Bachelor’s, Urban, 2, Moderate, Moderate, High, Bi-weekly, Moderate  
Violet Cook, 27, $64,000, Bachelor’s, Rural, 2, Low, High, High, Monthly, High  
Lucas Ross, 50, $125,000, Doctorate, Suburban, 5, Moderate, Moderate, Moderate, Quarterly, Moderate  
Chloe Green, 37, $97,000, Master's, Urban, 3, High, High, High, Monthly, High  
Bella Lewis, 29, $69,000, Bachelor's, Suburban, 2, Moderate, Low, High, Weekly, Moderate  
Oliver Baker, 45, $112,000, Master’s, Rural, 4, High, High, Moderate, Monthly, High  
Mia Mitchell, 26, $66,000, Bachelor’s, Urban, 3, High, High, High, Bi-weekly, High  
Jackson Turner, 33, $83,000, Doctorate, Suburban, 2, Moderate, Low, Moderate, Monthly, Moderate  
Amelia Moore, 39, $102,000, Master’s, Rural, 4, Low, Moderate, High, Monthly, High  
Benjamin Nelson, 31, $78,000, Bachelor’s, Urban, 2, High, High, Moderate, Weekly, Moderate  
Madison Hughes, 28, $71,000, Master’s, Suburban, 3, Low, Moderate, High, Bi-weekly, Moderate  
Leo Gomez, 47, $119,000, Doctorate, Rural, 1, Moderate, High, High, Monthly, High  
Luna Phillips, 42, $107,000, Bachelor’s, Urban, 5, High, Moderate, Moderate, Monthly, Moderate  
